(customerName),(productName),(productLine),(orderDate),(orderMonth),(orderYear),(orderQuarter),(dollar_sales)
"Rovelli Gifts","1900s Vintage Tri-Plane","Planes","2003-02-17 00:00:00","2","2003","1",1,846
"Rovelli Gifts","1928 Ford Phaeton Deluxe","Vintage Cars","2003-02-17 00:00:00","2","2003","1",2,157
"Rovelli Gifts","1930 Buick Marquette Phaeton","Vintage Cars","2003-02-17 00:00:00","2","2003","1",1,395
"Rovelli Gifts","American Airlines: B767-300","Planes","2003-02-17 00:00:00","2","2003","1",2,832
"Rovelli Gifts","HMS Bounty","Ships","2003-02-17 00:00:00","2","2003","1",2,553
"Rovelli Gifts","America West Airlines B757-200","Planes","2003-02-17 00:00:00","2","2003","1",3,390
"Rovelli Gifts","ATA: B757-300","Planes","2003-02-17 00:00:00","2","2003","1",3,645
"Rovelli Gifts","F/A 18 Hornet 1/72","Planes","2003-02-17 00:00:00","2","2003","1",3,344
"Rovelli Gifts","American Airlines: MD-11S","Planes","2003-02-17 00:00:00","2","2003","1",3,376
"Rovelli Gifts","Boeing X-32A JSF","Planes","2003-02-17 00:00:00","2","2003","1",2,098
"Land of Toys Inc.","1969 Harley Davidson Ultimate Chopper","Motorcycles","2003-02-24 00:00:00","2","2003","1",2,441
"Land of Toys Inc.","1996 Moto Guzzi 1100i","Motorcycles","2003-02-24 00:00:00","2","2003","1",4,129
"Land of Toys Inc.","2003 Harley-Davidson Eagle Drag Bike","Motorcycles","2003-02-24 00:00:00","2","2003","1",4,654
"Land of Toys Inc.","2002 Suzuki XREO","Motorcycles","2003-02-24 00:00:00","2","2003","1",2,562
"Land of Toys Inc.","1936 Harley Davidson El Knucklehead","Motorcycles","2003-02-24 00:00:00","2","2003","1",1,528
"Land of Toys Inc.","1997 BMW R 1100 S","Motorcycles","2003-02-24 00:00:00","2","2003","1",2,423
"Land of Toys Inc.","1960 BSA Gold Star DBD34","Motorcycles","2003-02-24 00:00:00","2","2003","1",2,779
"Land of Toys Inc.","1997 BMW F650 ST","Motorcycles","2003-02-24 00:00:00","2","2003","1",1,778
"Cruz & Sons Co.","1968 Ford Mustang","Classic Cars","2003-03-03 00:00:00","3","2003","1",5,458
"Cruz & Sons Co.","1968 Dodge Charger","Classic Cars","2003-03-03 00:00:00","3","2003","1",4,334
"Cruz & Sons Co.","1970 Plymouth Hemi Cuda","Classic Cars","2003-03-03 00:00:00","3","2003","1",2,957
"Cruz & Sons Co.","1969 Dodge Charger","Classic Cars","2003-03-03 00:00:00","3","2003","1",3,856
"Cruz & Sons Co.","1948 Porsche 356-A Roadster","Classic Cars","2003-03-03 00:00:00","3","2003","1",2,575
"Cruz & Sons Co.","1969 Dodge Super Bee","Classic Cars","2003-03-03 00:00:00","3","2003","1",1,902
"Cruz & Sons Co.","1976 Ford Gran Torino","Classic Cars","2003-03-03 00:00:00","3","2003","1",3,836
"Cruz & Sons Co.","1957 Vespa GS150","Motorcycles","2003-03-03 00:00:00","3","2003","1",2,272
"Cruz & Sons Co.","1957 Corvette Convertible","Classic Cars","2003-03-03 00:00:00","3","2003","1",6,154
"Cruz & Sons Co.","1982 Ducati 900 Monster","Motorcycles","2003-03-03 00:00:00","3","2003","1",2,254
"Cruz & Sons Co.","1971 Alpine Renault 1600s","Classic Cars","2003-03-03 00:00:00","3","2003","1",1,800
"Cruz & Sons Co.","1956 Porsche 356A Coupe","Classic Cars","2003-03-03 00:00:00","3","2003","1",5,280
"Cruz & Sons Co.","1961 Chevrolet Impala","Classic Cars","2003-03-03 00:00:00","3","2003","1",2,080
"Cruz & Sons Co.","1982 Ducati 996 R","Motorcycles","2003-03-03 00:00:00","3","2003","1",978
"Cruz & Sons Co.","1974 Ducati 350 Mk3 Desmo","Motorcycles","2003-03-03 00:00:00","3","2003","1",2,721
"Cruz & Sons Co.","2002 Yamaha YZR M1","Motorcycles","2003-03-03 00:00:00","3","2003","1",2,545
"Motor Mint Distributors Inc.","1993 Mazda RX-7","Classic Cars","2003-03-10 00:00:00","3","2003","1",3,054
"Motor Mint Distributors Inc.","1995 Honda Civic","Classic Cars","2003-03-10 00:00:00","3","2003","1",5,243
"Motor Mint Distributors Inc.","1999 Indy 500 Monte Carlo SS","Classic Cars","2003-03-10 00:00:00","3","2003","1",3,295
"Motor Mint Distributors Inc.","1992 Ferrari 360 Spider red","Classic Cars","2003-03-10 00:00:00","3","2003","1",7,400
"Motor Mint Distributors Inc.","1948 Porsche Type 356 Roadster","Classic Cars","2003-03-10 00:00:00","3","2003","1",5,910
"Motor Mint Distributors Inc.","1982 Lamborghini Diablo","Classic Cars","2003-03-10 00:00:00","3","2003","1",931
"AV Stores, Co.","1965 Aston Martin DB5","Classic Cars","2003-03-18 00:00:00","3","2003","1",4,374
"AV Stores, Co.","1917 Grand Touring Sedan","Vintage Cars","2003-03-18 00:00:00","3","2003","1",6,426
"AV Stores, Co.","1911 Ford Town Car","Vintage Cars","2003-03-18 00:00:00","3","2003","1",1,647
"AV Stores, Co.","1932 Model A Ford J-Coupe","Vintage Cars","2003-03-18 00:00:00","3","2003","1",3,818
"AV Stores, Co.","1928 Mercedes-Benz SSK","Vintage Cars","2003-03-18 00:00:00","3","2003","1",5,074
"AV Stores, Co.","1932 Alfa Romeo 8C2300 Spider Sport","Vintage Cars","2003-03-18 00:00:00","3","2003","1",2,293
"AV Stores, Co.","1957 Ford Thunderbird","Classic Cars","2003-03-18 00:00:00","3","2003","1",2,604
"AV Stores, Co.","1970 Chevy Chevelle SS 454","Classic Cars","2003-03-18 00:00:00","3","2003","1",2,593
"AV Stores, Co.","1966 Shelby Cobra 427 S/C","Classic Cars","2003-03-18 00:00:00","3","2003","1",1,255
"AV Stores, Co.","1939 Chevrolet Deluxe Coupe","Vintage Cars","2003-03-18 00:00:00","3","2003","1",578
"AV Stores, Co.","1938 Cadillac V-16 Presidential Limousine","Vintage Cars","2003-03-18 00:00:00","3","2003","1",1,590
"AV Stores, Co.","1949 Jaguar XK 120","Classic Cars","2003-03-18 00:00:00","3","2003","1",3,556
"AV Stores, Co.","1952 Citroen-15CV","Classic Cars","2003-03-18 00:00:00","3","2003","1",5,186
"AV Stores, Co.","1969 Chevrolet Camaro Z28","Classic Cars","2003-03-18 00:00:00","3","2003","1",2,173
"AV Stores, Co.","2002 Chevy Corvette","Classic Cars","2003-03-18 00:00:00","3","2003","1",3,566
"AV Stores, Co.","1936 Mercedes Benz 500k Roadster","Vintage Cars","2003-03-18 00:00:00","3","2003","1",1,694
"Mini Wheels Co.","1937 Lincoln Berline","Vintage Cars","2003-03-25 00:00:00","3","2003","1",2,882
"Mini Wheels Co.","1936 Mercedes-Benz 500K Special Roadster","Vintage Cars","2003-03-25 00:00:00","3","2003","1",2,329
"Mini Wheels Co.","1934 Ford V8 Coupe","Vintage Cars","2003-03-25 00:00:00","3","2003","1",1,487
"Mini Wheels Co.","18th Century Vintage Horse Carriage","Vintage Cars","2003-03-25 00:00:00","3","2003","1",4,053
"Mini Wheels Co.","1917 Maxwell Touring Car","Vintage Cars","2003-03-25 00:00:00","3","2003","1",3,560
"Mini Wheels Co.","1936 Chrysler Airflow","Vintage Cars","2003-03-25 00:00:00","3","2003","1",2,228
"Volvo Model Replicas, Co","1952 Alpine Renault 1300","Classic Cars","2003-03-24 00:00:00","3","2003","1",5,718
"Volvo Model Replicas, Co","1913 Ford Model T Speedster","Vintage Cars","2003-03-24 00:00:00","3","2003","1",1,957
"Mini Gifts Distributors Ltd.","1958 Setra Bus","Trucks and Buses","2003-03-26 00:00:00","3","2003","1",2,554
"Mini Gifts Distributors Ltd.","1940 Ford Pickup Truck","Trucks and Buses","2003-03-26 00:00:00","3","2003","1",4,974
"Mini Gifts Distributors Ltd.","1939 Cadillac Limousine","Vintage Cars","2003-03-26 00:00:00","3","2003","1",2,164
"Mini Gifts Distributors Ltd.","1996 Peterbilt 379 Stake Bed with Outrigger","Trucks and Buses","2003-03-26 00:00:00","3","2003","1",1,353
"La Corne D'abondance, Co.","1962 LanciaA Delta 16V","Classic Cars","2003-04-01 00:00:00","4","2003","2",3,984
"La Corne D'abondance, Co.","1964 Mercedes Tour Bus","Trucks and Buses","2003-04-01 00:00:00","4","2003","2",4,164
"La Corne D'abondance, Co.","1926 Ford Fire Engine","Trucks and Buses","2003-04-01 00:00:00","4","2003","2",2,407
"La Corne D'abondance, Co.","1992 Ferrari 360 Spider red","Classic Cars","2003-04-01 00:00:00","4","2003","2",8,128
"La Corne D'abondance, Co.","1940s Ford truck","Trucks and Buses","2003-04-01 00:00:00","4","2003","2",4,319
"La Corne D'abondance, Co.","1962 Volkswagen Microbus","Trucks and Buses","2003-04-01 00:00:00","4","2003","2",2,147
"La Corne D'abondance, Co.","1958 Chevy Corvette Limited Edition","Classic Cars","2003-04-01 00:00:00","4","2003","2",687
"La Corne D'abondance, Co.","1980Ã¢â‚¬â„¢s GM Manhattan Express","Trucks and Buses","2003-04-01 00:00:00","4","2003","2",2,836
"La Corne D'abondance, Co.","1954 Greyhound Scenicruiser","Trucks and Buses","2003-04-01 00:00:00","4","2003","2",1,227
"La Corne D'abondance, Co.","1982 Camaro Z28","Classic Cars","2003-04-01 00:00:00","4","2003","2",3,483
"Classic Legends Inc.","1957 Chevy Pickup","Trucks and Buses","2003-04-04 00:00:00","4","2003","2",5,124
"Classic Legends Inc.","1998 Chrysler Plymouth Prowler","Classic Cars","2003-04-04 00:00:00","4","2003","2",6,477
"Classic Legends Inc.","1970 Dodge Coronet","Classic Cars","2003-04-04 00:00:00","4","2003","2",2,662
"Classic Legends Inc.","1992 Porsche Cayenne Turbo Silver","Classic Cars","2003-04-04 00:00:00","4","2003","2",4,684
"Classic Legends Inc.","Diamond T620 Semi-Skirted Tanker","Trucks and Buses","2003-04-04 00:00:00","4","2003","2",2,719
"Royale Belge","1950's Chicago Surface Lines Streetcar","Trains","2003-04-11 00:00:00","4","2003","2",1,628
"Dragon Souveniers, Ltd.","2001 Ferrari Enzo","Classic Cars","2003-04-16 00:00:00","4","2003","2",6,446
"Dragon Souveniers, Ltd.","1969 Corvair Monza","Classic Cars","2003-04-16 00:00:00","4","2003","2",6,367
"Dragon Souveniers, Ltd.","1969 Ford Falcon","Classic Cars","2003-04-16 00:00:00","4","2003","2",6,748
"Dragon Souveniers, Ltd.","1903 Ford Model A","Vintage Cars","2003-04-16 00:00:00","4","2003","2",3,161
"Dragon Souveniers, Ltd.","Collectable Wooden Train","Trains","2003-04-16 00:00:00","4","2003","2",1,715
"Dragon Souveniers, Ltd.","1970 Triumph Spitfire","Classic Cars","2003-04-16 00:00:00","4","2003","2",2,686
"Dragon Souveniers, Ltd.","1904 Buick Runabout","Vintage Cars","2003-04-16 00:00:00","4","2003","2",1,696
"Dragon Souveniers, Ltd.","18th century schooner","Ships","2003-04-16 00:00:00","4","2003","2",4,887
"Dragon Souveniers, Ltd.","1962 City of Detroit Streetcar","Trains","2003-04-16 00:00:00","4","2003","2",1,169
"Dragon Souveniers, Ltd.","The Mayflower","Ships","2003-04-16 00:00:00","4","2003","2",2,863
"Dragon Souveniers, Ltd.","The Queen Mary","Ships","2003-04-16 00:00:00","4","2003","2",4,022
"Dragon Souveniers, Ltd.","Pont Yacht","Ships","2003-04-16 00:00:00","4","2003","2",2,621
"Enaco Distributors","The Titanic","Ships","2003-04-21 00:00:00","4","2003","2",3,101
"Salzburg Collectables","1972 Alfa Romeo GTA","Classic Cars","2003-04-28 00:00:00","4","2003","2",5,192
"Salzburg Collectables","1980s Black Hawk Helicopter","Planes","2003-04-28 00:00:00","4","2003","2",6,509
"Salzburg Collectables","1999 Yamaha Speed Boat","Ships","2003-04-28 00:00:00","4","2003","2",1,572
"Salzburg Collectables","1941 Chevrolet Special Deluxe Cabriolet","Vintage Cars","2003-04-28 00:00:00","4","2003","2",2,573
"Salzburg Collectables","1900s Vintage Bi-Plane","Planes","2003-04-28 00:00:00","4","2003","2",2,640
"Salzburg Collectables","1912 Ford Model T Delivery Wagon","Vintage Cars","2003-04-28 00:00:00","4","2003","2",2,540
"Salzburg Collectables","1937 Horch 930V Limousine","Vintage Cars","2003-04-28 00:00:00","4","2003","2",1,262
"Salzburg Collectables","1940 Ford Delivery Sedan","Vintage Cars","2003-04-28 00:00:00","4","2003","2",2,876
"Salzburg Collectables","Corsair F4U ( Bird Cage)","Planes","2003-04-28 00:00:00","4","2003","2",1,739
"Salzburg Collectables","The Schooner Bluenose","Ships","2003-04-28 00:00:00","4","2003","2",1,434
"Salzburg Collectables","HMS Bounty","Ships","2003-04-28 00:00:00","4","2003","2",2,153
"Salzburg Collectables","The USS Constitution Ship","Ships","2003-04-28 00:00:00","4","2003","2",2,554
"Salzburg Collectables","American Airlines: MD-11S","Planes","2003-04-28 00:00:00","4","2003","2",1,655
"Salzburg Collectables","Boeing X-32A JSF","Planes","2003-04-28 00:00:00","4","2003","2",1,126
"Australian Collectors, Co.","1996 Moto Guzzi 1100i","Motorcycles","2003-04-29 00:00:00","4","2003","2",3,449
"Australian Collectors, Co.","2003 Harley-Davidson Eagle Drag Bike","Motorcycles","2003-04-29 00:00:00","4","2003","2",7,305
"Australian Collectors, Co.","P-51-D Mustang","Planes","2003-04-29 00:00:00","4","2003","2",2,401
"Australian Collectors, Co.","1936 Harley Davidson El Knucklehead","Motorcycles","2003-04-29 00:00:00","4","2003","2",2,647
"Australian Collectors, Co.","1997 BMW R 1100 S","Motorcycles","2003-04-29 00:00:00","4","2003","2",3,866
"Australian Collectors, Co.","1928 British Royal Navy Airplane","Planes","2003-04-29 00:00:00","4","2003","2",3,627
"Australian Collectors, Co.","1960 BSA Gold Star DBD34","Motorcycles","2003-04-29 00:00:00","4","2003","2",2,460
"Australian Collectors, Co.","1900s Vintage Tri-Plane","Planes","2003-04-29 00:00:00","4","2003","2",2,080
"Australian Collectors, Co.","1997 BMW F650 ST","Motorcycles","2003-04-29 00:00:00","4","2003","2",2,088
"Australian Collectors, Co.","1928 Ford Phaeton Deluxe","Vintage Cars","2003-04-29 00:00:00","4","2003","2",1,995
"Australian Collectors, Co.","1930 Buick Marquette Phaeton","Vintage Cars","2003-04-29 00:00:00","4","2003","2",2,032
"Australian Collectors, Co.","American Airlines: B767-300","Planes","2003-04-29 00:00:00","4","2003","2",4,293
"Australian Collectors, Co.","America West Airlines B757-200","Planes","2003-04-29 00:00:00","4","2003","2",1,962
"Australian Collectors, Co.","ATA: B757-300","Planes","2003-04-29 00:00:00","4","2003","2",2,563
"Australian Collectors, Co.","F/A 18 Hornet 1/72","Planes","2003-04-29 00:00:00","4","2003","2",3,096
"Reims Collectables","1969 Harley Davidson Ultimate Chopper","Motorcycles","2003-05-07 00:00:00","5","2003","2",2,928
"Reims Collectables","2002 Suzuki XREO","Motorcycles","2003-05-07 00:00:00","5","2003","2",6,326
"Reims Collectables","1982 Ducati 900 Monster","Motorcycles","2003-05-07 00:00:00","5","2003","2",1,862
"Reims Collectables","1974 Ducati 350 Mk3 Desmo","Motorcycles","2003-05-07 00:00:00","5","2003","2",2,398
"Reims Collectables","2002 Yamaha YZR M1","Motorcycles","2003-05-07 00:00:00","5","2003","2",3,186
"Marseille Mini Autos","1968 Ford Mustang","Classic Cars","2003-05-08 00:00:00","5","2003","2",6,538
"Marseille Mini Autos","1968 Dodge Charger","Classic Cars","2003-05-08 00:00:00","5","2003","2",4,215
"Marseille Mini Autos","1970 Plymouth Hemi Cuda","Classic Cars","2003-05-08 00:00:00","5","2003","2",2,094
"Marseille Mini Autos","1969 Dodge Charger","Classic Cars","2003-05-08 00:00:00","5","2003","2",2,096
"Marseille Mini Autos","1993 Mazda RX-7","Classic Cars","2003-05-08 00:00:00","5","2003","2",3,898
"Marseille Mini Autos","1948 Porsche 356-A Roadster","Classic Cars","2003-05-08 00:00:00","5","2003","2",2,682
"Marseille Mini Autos","1995 Honda Civic","Classic Cars","2003-05-08 00:00:00","5","2003","2",3,528
"Marseille Mini Autos","1992 Ferrari 360 Spider red","Classic Cars","2003-05-08 00:00:00","5","2003","2",3,429
"Marseille Mini Autos","1969 Dodge Super Bee","Classic Cars","2003-05-08 00:00:00","5","2003","2",1,452
"Marseille Mini Autos","1976 Ford Gran Torino","Classic Cars","2003-05-08 00:00:00","5","2003","2",2,809
"Marseille Mini Autos","1957 Vespa GS150","Motorcycles","2003-05-08 00:00:00","5","2003","2",2,067
"Marseille Mini Autos","1957 Corvette Convertible","Classic Cars","2003-05-08 00:00:00","5","2003","2",4,083
"Marseille Mini Autos","1982 Lamborghini Diablo","Classic Cars","2003-05-08 00:00:00","5","2003","2",1,355
"Marseille Mini Autos","1971 Alpine Renault 1600s","Classic Cars","2003-05-08 00:00:00","5","2003","2",1,728
"Marseille Mini Autos","1956 Porsche 356A Coupe","Classic Cars","2003-05-08 00:00:00","5","2003","2",5,857
"Marseille Mini Autos","1961 Chevrolet Impala","Classic Cars","2003-05-08 00:00:00","5","2003","2",1,946
"Marseille Mini Autos","1982 Ducati 996 R","Motorcycles","2003-05-08 00:00:00","5","2003","2",1,047
"Atelier graphique","1965 Aston Martin DB5","Classic Cars","2003-05-20 00:00:00","5","2003","2",3,138
"Atelier graphique","1999 Indy 500 Monte Carlo SS","Classic Cars","2003-05-20 00:00:00","5","2003","2",5,283
"Atelier graphique","1948 Porsche Type 356 Roadster","Classic Cars","2003-05-20 00:00:00","5","2003","2",3,987
"Atelier graphique","1966 Shelby Cobra 427 S/C","Classic Cars","2003-05-20 00:00:00","5","2003","2",2,164
"Signal Gift Stores","1917 Grand Touring Sedan","Vintage Cars","2003-05-21 00:00:00","5","2003","2",3,213
"Signal Gift Stores","1911 Ford Town Car","Vintage Cars","2003-05-21 00:00:00","5","2003","2",2,441
"Signal Gift Stores","1932 Model A Ford J-Coupe","Vintage Cars","2003-05-21 00:00:00","5","2003","2",4,699
"Signal Gift Stores","1932 Alfa Romeo 8C2300 Spider Sport","Vintage Cars","2003-05-21 00:00:00","5","2003","2",2,717
"Signal Gift Stores","1957 Ford Thunderbird","Classic Cars","2003-05-21 00:00:00","5","2003","2",1,524
"Signal Gift Stores","1970 Chevy Chevelle SS 454","Classic Cars","2003-05-21 00:00:00","5","2003","2",1,374
"Signal Gift Stores","1939 Chevrolet Deluxe Coupe","Vintage Cars","2003-05-21 00:00:00","5","2003","2",1,374
"Signal Gift Stores","1938 Cadillac V-16 Presidential Limousine","Vintage Cars","2003-05-21 00:00:00","5","2003","2",798
"Signal Gift Stores","1949 Jaguar XK 120","Classic Cars","2003-05-21 00:00:00","5","2003","2",2,384
"Signal Gift Stores","1952 Citroen-15CV","Classic Cars","2003-05-21 00:00:00","5","2003","2",2,349
"Signal Gift Stores","1969 Chevrolet Camaro Z28","Classic Cars","2003-05-21 00:00:00","5","2003","2",3,733
"Signal Gift Stores","2002 Chevy Corvette","Classic Cars","2003-05-21 00:00:00","5","2003","2",4,374
"Signal Gift Stores","1936 Mercedes Benz 500k Roadster","Vintage Cars","2003-05-21 00:00:00","5","2003","2",1,661
"Australian Collectors, Co.","1937 Lincoln Berline","Vintage Cars","2003-05-21 00:00:00","5","2003","2",2,860
"Australian Collectors, Co.","1928 Mercedes-Benz SSK","Vintage Cars","2003-05-21 00:00:00","5","2003","2",4,705
"Corrida Auto Replicas, Ltd","1952 Alpine Renault 1300","Classic Cars","2003-05-28 00:00:00","5","2003","2",7,818
"Corrida Auto Replicas, Ltd","1962 LanciaA Delta 16V","Classic Cars","2003-05-28 00:00:00","5","2003","2",2,698
"Corrida Auto Replicas, Ltd","1958 Setra Bus","Trucks and Buses","2003-05-28 00:00:00","5","2003","2",2,841
"Corrida Auto Replicas, Ltd","1940 Ford Pickup Truck","Trucks and Buses","2003-05-28 00:00:00","5","2003","2",4,433
"Corrida Auto Replicas, Ltd","1936 Mercedes-Benz 500K Special Roadster","Vintage Cars","2003-05-28 00:00:00","5","2003","2",2,151
"Corrida Auto Replicas, Ltd","1926 Ford Fire Engine","Trucks and Buses","2003-05-28 00:00:00","5","2003","2",2,195
"Corrida Auto Replicas, Ltd","1913 Ford Model T Speedster","Vintage Cars","2003-05-28 00:00:00","5","2003","2",2,890
"Corrida Auto Replicas, Ltd","1934 Ford V8 Coupe","Vintage Cars","2003-05-28 00:00:00","5","2003","2",2,845
"Corrida Auto Replicas, Ltd","18th Century Vintage Horse Carriage","Vintage Cars","2003-05-28 00:00:00","5","2003","2",2,796
"Corrida Auto Replicas, Ltd","1917 Maxwell Touring Car","Vintage Cars","2003-05-28 00:00:00","5","2003","2",3,582
"Corrida Auto Replicas, Ltd","1940s Ford truck","Trucks and Buses","2003-05-28 00:00:00","5","2003","2",5,146
"Corrida Auto Replicas, Ltd","1939 Cadillac Limousine","Vintage Cars","2003-05-28 00:00:00","5","2003","2",2,033
"Corrida Auto Replicas, Ltd","1962 Volkswagen Microbus","Trucks and Buses","2003-05-28 00:00:00","5","2003","2",3,312
"Corrida Auto Replicas, Ltd","1936 Chrysler Airflow","Vintage Cars","2003-05-28 00:00:00","5","2003","2",2,848
"Corrida Auto Replicas, Ltd","1980Ã¢â‚¬â„¢s GM Manhattan Express","Trucks and Buses","2003-05-28 00:00:00","5","2003","2",3,562
"Corrida Auto Replicas, Ltd","1996 Peterbilt 379 Stake Bed with Outrigger","Trucks and Buses","2003-05-28 00:00:00","5","2003","2",1,613
"Corrida Auto Replicas, Ltd","1982 Camaro Z28","Classic Cars","2003-05-28 00:00:00","5","2003","2",4,370
"Muscle Machine Inc","2001 Ferrari Enzo","Classic Cars","2003-06-03 00:00:00","6","2003","2",8,890
